nodes,NR,NW,clients,read_s,write_s
7,6,5,3,0.11,0.14
7,6,5,4,0.1,0.12
7,6,5,5,0.11,0.15
7,6,5,6,0.11,0.14
7,6,5,7,0.11,0.13
7,6,5,8,0.12,0.15
7,6,5,9,0.12,0.14
7,6,5,10,0.12,0.13
7,6,6,1,0.09,0.12
7,6,6,2,0.1,0.12
7,6,6,3,0.1,0.12
7,6,6,4,0.11,0.12
7,6,6,5,0.11,0.13
7,6,6,6,0.11,0.13
7,6,6,7,0.11,0.13
7,6,6,8,0.12,0.13
7,6,6,9,0.12,0.13
7,6,6,10,0.11,0.14
7,6,7,1,0.09,0.11
7,6,7,2,0.09,0.12
7,6,7,3,0.1,0.12
7,6,7,4,0.1,0.13
7,6,7,5,0.11,0.13
7,6,7,6,0.11,0.14
7,6,7,7,0.11,0.14
7,6,7,8,0.11,0.15
7,6,7,9,0.12,0.17
7,6,7,10,0.12,0.15
7,7,4,1,0.09,0.11
7,7,4,2,0.1,0.11
7,7,4,3,0.1,0.11
7,7,4,4,0.11,0.11
7,7,4,5,0.11,0.11
7,7,4,6,0.12,0.12
7,7,4,7,0.12,0.12
7,7,4,8,0.12,0.12
7,7,4,9,0.13,0.12
7,7,4,10,0.13,0.13
7,7,5,1,0.1,0.12
7,7,5,2,0.1,0.11
7,7,5,3,0.1,0.11
7,7,5,4,0.1,0.12
7,7,5,5,0.11,0.13
7,7,5,6,0.12,0.13
7,7,5,7,0.12,0.13
7,7,5,8,0.11,0.13
7,7,5,9,0.12,0.13
7,7,5,10,0.12,0.13
7,7,6,1,0.09,0.12
7,7,6,2,0.1,0.12
7,7,6,3,0.1,0.12
7,7,6,4,0.1,0.12
7,7,6,5,0.11,0.13
7,7,6,6,0.11,0.13
7,7,6,7,0.12,0.13
7,7,6,8,0.11,0.14
7,7,6,9,0.12,0.14
7,7,6,10,0.13,0.13
7,7,7,1,0.09,0.12
7,7,7,2,0.1,0.12
7,7,7,3,0.1,0.12
7,7,7,4,0.11,0.13
7,7,7,5,0.11,0.14
7,7,7,6,0.12,0.14
7,7,7,7,0.12,0.14
7,7,7,8,0.11,0.14
7,7,7,9,0.12,0.14
7,7,7,10,0.12,0.14
